IDX,Name,Origin,Type,Width,Height,Path
0,IM000001.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000001.jpg
1,IM000004.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000004.jpg
2,IM000023.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000023.jpg
3,IM000024.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000024.jpg
4,IM000135.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000135.jpg
5,IM000136.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000136.jpg
6,IM000167.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000167.jpg
7,IM000168.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000168.jpg
8,IM000189.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000189.jpg
9,IM000209.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000209.jpg
10,IM000210.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000210.jpg
11,IM000333.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000333.jpg
12,IM000389.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000389.jpg
13,IM000390.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000390.jpg
14,IM000678.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000678.jpg
15,IM000679.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000679.jpg
16,IM000715.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000715.jpg
17,IM000716.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000716.jpg
18,IM000938.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM000938.jpg
19,IM001031.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001031.jpg
20,IM001032.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001032.jpg
21,IM001034.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001034.jpg
22,IM001069.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001069.jpg
23,IM001070.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001070.jpg
24,IM001096.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001096.jpg
25,IM001097.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001097.jpg
26,IM001126.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001126.jpg
27,IM001127.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001127.jpg
28,IM001154.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001154.jpg
29,IM001155.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001155.jpg
30,IM001192.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001192.jpg
31,IM001193.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001193.jpg
32,IM001218.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001218.jpg
33,IM001219.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001219.jpg
34,IM001246.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001246.jpg
35,IM001686.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001686.jpg
36,IM001749.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001749.jpg
37,IM001750.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001750.jpg
38,IM001791.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001791.jpg
39,IM001792.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001792.jpg
40,IM001814.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001814.jpg
41,IM001858.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001858.jpg
42,IM001859.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM001859.jpg
43,IM002094.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM002094.jpg
44,IM002348.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM002348.jpg
45,IM002350.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM002350.jpg
46,IM002421.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM002421.jpg
47,IM002422.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM002422.jpg
48,IM002471.jpg,AFIO,RGB_Img,1024,1024,../data/cleaned/train/img/AFIO_IM002471.jpg
