Epoch,Train Loss,Val Loss
1,1.399,1.419
2,1.197,1.353
3,1.052,1.594
4,0.902,1.625
5,0.793,1.188
6,0.716,1.151
7,0.651,1.156
8,0.602,1.151
9,0.555,1.146
10,0.524,1.144
11,0.492,1.144
12,0.471,1.136
13,0.452,1.165
14,0.444,1.143
15,0.43,1.152
16,0.416,1.123
17,0.401,1.123
18,0.39,1.145
19,0.38,1.19
20,0.374,1.158
21,0.362,1.131
22,0.36,1.156
23,0.356,1.169
24,0.349,1.174
25,0.352,1.171
26,0.349,1.195
27,0.343,1.177
28,0.331,1.207
29,0.329,1.173
30,0.328,1.207
31,0.327,1.114
32,0.323,1.176
33,0.319,1.339
34,0.312,1.335
35,0.31,1.273
36,0.308,1.199
37,0.302,1.258
38,0.3,1.185
39,0.3,1.263
40,0.289,1.334
41,0.287,1.329
42,0.283,1.385
43,0.286,1.27
44,0.289,1.391
45,0.299,1.355
46,0.295,1.274
47,0.293,1.391
48,0.288,1.348
49,0.295,1.357
50,0.317,1.472
51,0.305,1.475
52,0.307,1.418
53,0.299,1.465
54,0.283,1.343
55,0.269,1.419
56,0.258,1.418
57,0.253,1.422
58,0.251,1.485
59,0.253,1.442
60,0.251,1.392
61,0.253,1.496
62,0.262,1.482
63,0.266,1.5
64,0.271,1.47
65,0.27,1.355
66,0.262,1.446
67,0.242,1.475
68,0.231,1.408
69,0.229,1.476
70,0.237,1.504
71,0.248,1.464
72,0.251,1.415
73,0.249,1.499
74,0.239,1.526
75,0.239,1.507
76,0.23,1.449
77,0.225,1.496
78,0.22,1.536
79,0.216,1.516
80,0.217,1.509
81,0.217,1.508
82,0.219,1.458
83,0.219,1.486
84,0.216,1.464
85,0.21,1.447
86,0.209,1.528
87,0.207,1.568
88,0.203,1.493
89,0.2,1.483
90,0.196,1.58
91,0.194,1.591
92,0.193,1.577
93,0.194,1.521
94,0.198,1.578
95,0.203,1.629
96,0.205,1.596
97,0.204,1.538
98,0.202,1.631
99,0.197,1.601
100,0.195,1.58
